Video Name,Serial Num,Frame Start,Frame End, Frame Difference,Frame Time Difference (ms)
ADS HG,0,423,448,25,104
ADS HG,1,684,709,25,104
ADS HG,2,958,980,22,91
ADS HG,3,1227,1252,25,104
ADS HG,4,1496,1520,24,100
ADS HG,5,1766,1792,26,108
ADS HG,6,2046,2071,25,104
ADS HG,7,2324,2347,23,95
ADS HG,8,2596,2619,23,95
ADS HG,9,2875,2898,23,95
ADS HG,10,3144,3170,26,108
ADS HG,11,3418,3442,24,100
ADS HG,12,3685,3710,25,104
ADS HG,13,3952,3977,25,104
ADS HG,14,4233,4257,24,100
ADS HG,15,4490,4513,23,95
ADS HG,16,4774,4801,27,112
ADS HG,17,5054,5080,26,108
Camera Right,18,391,409,18,75
Camera Right,19,758,777,19,79
Camera Right,20,1014,1033,19,79
Camera Right,21,1248,1268,20,83
Camera Right,22,1515,1536,21,87
Camera Right,23,1747,1768,21,87
Camera Right,24,1996,2015,19,79
Camera Right,25,2307,2327,20,83
Camera Right,26,2590,2611,21,87
Camera Right,27,2880,2899,19,79
Camera Right,28,3173,3191,18,75
Camera Right,29,3448,3466,18,75
Camera Right,30,3708,3729,21,87
Camera Right,31,3999,4018,19,79
Camera Right,32,4240,4258,18,75
Camera Right,33,4480,4498,18,75
Camera Right,34,4765,4785,20,83
Camera Right,35,5019,5037,18,75
Camera Right,36,5265,5284,19,79
Camera Right,37,5512,5532,20,83
Camera Right,38,5751,5772,21,87
Camera Right,39,5962,5980,18,75
Camera Right,40,6205,6224,19,79
Camera Right,41,6410,6428,18,75
Camera Right,42,6625,6643,18,75
crouch,43,502,558,56,233
crouch,44,875,930,55,229
crouch,45,1321,1373,52,216
crouch,46,1629,1689,60,250
crouch,47,2084,2141,57,237
crouch,48,2449,2509,60,250
crouch,49,2871,2932,61,254
crouch,50,3215,3276,61,254
crouch,51,3618,3679,61,254
crouch,52,3994,4059,65,270
crouch,53,4406,4463,57,237
crouch,54,4752,4810,58,241
crouch,55,5119,5174,55,229
crouch,56,5496,5553,57,237
crouch,57,5881,5945,64,266
crouch,58,6272,6328,56,233
crouch,59,6645,6708,63,262
crouch,60,7091,7148,57,237
crouch,61,7463,7523,60,250
crouch,62,7824,7879,55,229
crouch,63,8058,8111,53,220
crouch,64,8301,8350,49,204
crouch,65,8526,8574,48,200
crouch,66,8743,8790,47,195
crouch,67,8988,9030,42,175
